iter	Passed	Remaining
399	23682	94728
400	23736	94651
401	23816	94675
402	23902	94719
403	23962	94664
404	24018	94591
405	24073	94514
406	24131	94451
407	24183	94364
408	24245	94315
409	24302	94248
410	24362	94190
411	24437	94192
412	24494	94124
413	24560	94088
414	24624	94046
415	24677	93966
416	24724	93856
417	24780	93785
418	24839	93725
419	24890	93637
420	24959	93611
421	25010	93523
422	25068	93458
423	25128	93400
424	25182	93322
425	25231	93227
426	25293	93176
427	25344	93087
428	25395	92998
429	25445	92906
430	25497	92818
431	25554	92753
432	25613	92694
433	25661	92592
434	25722	92543
435	25776	92463
436	25833	92396
437	25891	92332
438	25947	92265
439	26009	92215
440	26066	92147
441	26125	92090
442	26183	92024
443	26240	91961
444	26302	91910
445	26357	91836
446	26434	91839
447	26487	91759
448	26544	91695
449	26596	91609
450	26660	91568
451	26715	91493
452	26765	91404
453	26821	91333
454	26892	91315
455	26948	91247
456	27005	91181
457	27055	91089
458	27120	91051
459	27181	91000
460	27245	90954
461	27304	90895
462	27380	90894
463	27446	90858
464	27500	90781
465	27559	90722
466	27609	90632
467	27653	90523
468	27713	90466
469	27762	90376
470	27823	90324
471	27873	90233
472	27938	90193
473	27994	90125
474	28050	90055
475	28098	89963
476	28153	89891
477	28205	89808
478	28264	89749
479	28319	89679
480	28372	89601
481	28443	89580
482	28497	89504
483	28543	89405
484	28590	89307
485	28661	89285
486	28712	89202
487	28764	89122
488	28827	89077
489	28876	88987
490	28930	88912
491	29013	88928
492	29070	88863
493	29128	88801
494	29183	88730
495	29239	88662
496	29297	88600
497	29350	88522
498	29401	88441
499	29460	88381
500	29518	88320
501	29570	88239
502	29632	88190
503	29687	88119
504	29744	88055
505	29795	87972
506	29851	87905
507	29902	87825
508	29959	87758
509	30020	87707
510	30070	87621
511	30129	87563
512	30197	87531
513	30257	87475
514	30317	87421
515	30380	87372
516	30445	87333
517	30512	87296
518	30562	87213
519	30617	87143
520	30670	87065
521	30729	87008
522	30788	86949
523	30851	86902
524	30911	86846
525	30973	86796
526	31032	86738
527	31078	86644
528	31130	86566
529	31181	86484
530	31374	86796
531	31430	86728
532	31482	86650
533	31533	86569
534	31589	86502
535	31652	86452
536	31716	86407
537	31768	86330
538	31827	86270
539	31880	86194
540	32058	86458
541	32116	86395
542	32179	86344
543	32244	86302
544	32308	86254
545	32357	86166
546	32419	86115
547	32472	86040
548	32541	86006
549	32593	85927
550	32660	85888
551	32718	85826
552	32792	85805
553	32841	85721
554	32892	85640
555	32947	85568
556	33012	85524
557	33066	85451
558	33130	85404
559	33181	85324
560	33239	85260
561	33294	85190
562	33346	85113
563	33391	85017
564	33446	84947
565	33502	84880
566	33557	84810
567	33605	84724
568	33655	84642
569	33714	84582
570	33769	84511
571	33840	84481
572	33906	84440
573	33958	84364
574	34016	84301
575	34077	84246
576	34146	84213
577	34213	84171
578	34265	84094
579	34330	84050
580	34387	83987
581	34437	83904
582	34497	83846
583	34569	83819
584	34624	83750
585	34677	83676
586	34735	83613
587	34793	83552
588	34853	83495
589	34918	83449
590	34966	83363
591	35017	83283
592	35070	83210
593	35123	83136
594	35187	83090
595	35245	83027
596	35295	82946
597	35345	82867
598	35407	82815
599	35462	82745
600	35517	82676
601	35576	82618
602	35628	82542
603	35680	82466
604	35727	82378
605	35785	82317
606	35829	82224
607	35881	82149
608	35936	82082
609	35992	82016
610	36038	81927
611	36095	81863
612	36128	81746
613	36183	81678
614	36239	81612
615	36286	81526
616	36345	81467
617	36405	81410
618	36455	81333
619	36511	81266
620	36571	81211
621	36626	81142
622	36685	81085
623	36737	81011
624	36810	80983
625	36867	80919
626	36934	80879
627	36990	80814
628	37045	80747
629	37101	80680
630	37156	80613
631	37219	80563
632	37278	80505
633	37332	80436
634	37394	80384
635	37459	80338
636	37509	80260
637	37554	80171
638	37610	80106
639	37673	80056
640	37737	80007
641	37810	79979
642	37862	79906
643	37917	79838
644	37968	79762
645	38041	79734
646	38104	79682
647	38158	79614
648	38211	79542
649	38272	79489
650	38340	79448
651	38390	79371
652	38445	79304
653	38502	79242
654	38560	79182
655	38613	79109
656	38672	79051
657	38743	79017
658	38795	78945
659	38845	78867
660	38893	78786
661	38949	78722
662	39006	78659
663	39061	78592
664	39127	78549
665	39183	78484
666	39230	78402
667	39301	78368
668	39354	78296
669	39418	78248
670	39487	78210
671	39566	78190
672	39617	78116
673	39666	78038
674	39713	77955
675	39771	77895
676	39828	77833
677	39890	77780
678	39962	77746
679	40022	77691
680	40079	77627
681	40131	77557
682	40198	77512
683	40261	77462
684	40352	77464
685	40407	77398
686	40461	77329
687	40528	77287
688	40590	77233
689	40641	77160
690	40690	77082
691	40750	77025
692	40820	76986
693	40876	76923
694	40934	76862
695	40983	76784
696	41042	76726
697	41098	76661
698	41145	76581
699	41192	76499
700	41249	76438
701	41302	76368
702	41353	76294
703	41410	76232
704	41457	76152
705	41517	76095
706	41582	76048
707	41637	75981
708	41692	75916
709	41758	75870
710	41809	75798
711	41862	75728
712	41910	75649
713	41963	75580
714	42028	75532
715	42085	75471
716	42142	75409
717	42214	75375
718	42266	75303
719	42322	75239
720	42387	75192
721	42441	75125
722	42504	75074
723	42565	75017
724	42616	74946
725	42685	74904
726	42744	74846
727	42800	74782
728	42856	74718
729	42913	74658
730	42965	74586
731	43015	74514
732	43080	74465
733	43136	74401
734	43188	74331
735	43251	74280
736	43314	74228
737	43381	74183
738	43451	74143
739	43499	74066
740	43564	74017
741	43624	73962
742	43684	73905
743	43737	73835
744	43806	73795
745	43865	73735
746	43921	73673
747	43989	73629
748	44054	73581
749	44122	73537
750	44185	73485
751	44241	73422
752	44293	73352
753	44362	73309
754	44418	73245
755	44468	73173
756	44525	73111
757	44599	73076
758	44649	73004
759	44720	72964
760	44773	72896
761	44832	72837
762	44876	72755
763	44933	72693
764	44991	72633
765	45042	72562
766	45088	72483
767	45139	72410
768	45191	72342
769	45273	72319
770	45329	72256
771	45389	72199
772	45452	72147
773	45507	72083
774	45563	72018
775	45613	71947
776	45680	71901
777	45736	71838
778	45804	71793
779	45867	71742
780	45926	71683
781	45983	71621
782	46045	71566
783	46099	71501
784	46157	71441
785	46217	71384
786	46266	71311
787	46335	71267
788	46389	71201
789	46440	71130
790	46611	71243
791	46673	71188
792	46723	71116
793	46773	71044
794	46830	70981
795	46887	70919
796	46956	70877
797	47012	70813
798	47063	70742
799	47112	70669
800	47162	70596
801	47210	70521
802	47259	70447
803	47307	70372
804	47368	70317
805	47424	70254
806	47478	70188
807	47542	70136
808	47590	70061
809	47646	69998
810	47695	69925
811	47759	69875
812	47819	69816
813	47869	69745
814	47921	69677
815	47979	69617
816	48030	69547
817	48098	69501
818	48167	69457
819	48247	69428
820	48313	69380
821	48370	69318
822	48427	69257
823	48490	69205
824	48545	69141
825	48601	69078
826	48662	69021
827	48712	68949
828	48771	68891
829	48827	68828
830	48880	68762
831	48940	68704
832	49013	68666
833	49065	68598
834	49120	68533
835	49170	68462
836	49221	68393
837	49278	68330
838	49348	68287
839	49405	68226
840	49468	68173
841	49527	68115
842	49576	68042
843	49634	67982
844	49682	67909
845	49732	67838
846	49787	67775
847	49844	67713
848	49900	67651
849	49962	67596
850	50026	67544
851	50086	67487
852	50137	67417
853	50199	67363
854	50256	67302
855	50322	67253
856	50371	67182
857	50421	67110
858	50500	67079
859	50565	67028
860	50631	66979
861	50685	66914
862	50754	66868
863	50811	66807
864	50855	66729
865	50905	66659
866	50958	66593
867	51008	66523
868	51081	66482
869	51134	66415
870	51201	66367
871	51252	66299
872	51310	66239
873	51368	66180
874	51421	66113
875	51485	66061
876	51550	66010
877	51609	65951
878	51653	65874
879	51725	65832
880	51782	65772
881	51834	65703
882	51888	65639
883	51948	65582
884	52011	65529
885	52071	65470
886	52123	65404
887	52167	65326
888	52216	65256
889	52270	65191
890	52325	65128
891	52377	65060
892	52441	65008
893	52501	64951
