iter	CrossEntropy
225	0.6421857249
226	0.6421400703
227	0.6419852409
228	0.6418950121
229	0.6417168069
230	0.6416794281
231	0.6416182863
232	0.6415350741
233	0.6414459312
234	0.6414230821
235	0.641381269
236	0.6411696515
237	0.6411207059
238	0.6410436813
239	0.6409522248
240	0.6407945396
241	0.6406156016
242	0.6405099005
243	0.6403939009
244	0.6402621085
245	0.6401518244
246	0.6400652233
247	0.6400502051
248	0.6400246466
249	0.6399378263
250	0.6398662125
251	0.6397470156
252	0.6395990185
253	0.6394948091
254	0.6393808561
255	0.6393098066
256	0.6392346912
257	0.6391569225
258	0.6390240771
259	0.6389175751
260	0.6387955711
261	0.6386457776
262	0.6385843793
263	0.6385335927
264	0.638472848
265	0.6383815072
266	0.6382908011
267	0.6381960028
268	0.6381560584
269	0.6381193014
270	0.6380495164
271	0.6378670734
272	0.6377135598
273	0.6376435572
274	0.6375102744
275	0.6373650057
276	0.6372864494
277	0.6371950698
278	0.6370707211
279	0.6369967177
280	0.6369517716
281	0.6368979248
282	0.6367050445
283	0.6365650795
284	0.6364766642
285	0.6363217087
286	0.6362427835
287	0.6361344132
288	0.6359079802
289	0.6357736546
290	0.6355971692
291	0.6354965144
292	0.6353016273
293	0.6352450492
294	0.6350583782
295	0.6349526292
296	0.6348843334
297	0.6348069873
298	0.634695447
299	0.6346429963
300	0.634484932
301	0.6343375489
302	0.6342486959
303	0.6340686947
304	0.6339186683
305	0.6337904845
306	0.6335913023
307	0.6335114232
308	0.6334817183
309	0.6332712002
310	0.6331747674
311	0.6331658797
312	0.6330787182
313	0.6329515145
314	0.6329163585
315	0.6328256966
316	0.6327560351
317	0.6326892789
318	0.6326191567
319	0.6324704543
320	0.6323857467
321	0.6323041044
322	0.6322781773
323	0.6322248745
324	0.6321878011
325	0.6320558394
326	0.6320324183
327	0.6319365532
328	0.6319147199
329	0.631873866
330	0.6317539226
331	0.6316974186
332	0.6316123754
333	0.6315803311
334	0.631435733
335	0.6313339921
336	0.631256891
337	0.6312349435
338	0.6311539809
339	0.6310315267
340	0.6309075869
341	0.6307624586
342	0.6306419679
343	0.6305189118
344	0.6303796137
345	0.6302618698
346	0.630137063
347	0.6300688255
348	0.6299886564
349	0.6299234592
350	0.6298907642
351	0.6297462227
352	0.6296206362
353	0.6295781483
354	0.6295261953
355	0.6294601651
356	0.6294404179
357	0.6294191422
358	0.6293449069
359	0.6292281359
360	0.6291334867
361	0.6290871524
362	0.6290066671
363	0.6289499967
364	0.6288465301
365	0.6287452711
366	0.6285901004
367	0.6285472415
368	0.6284288833
369	0.6283589951
370	0.6283240512
371	0.6281758124
372	0.6280676882
373	0.6279059302
374	0.6277164411
375	0.6276785367
376	0.6276080635
377	0.6275216426
378	0.6274650927
379	0.6274320444
380	0.6272006975
381	0.6271361045
382	0.6270717412
383	0.6269255597
384	0.6268721168
385	0.6267683106
386	0.6266683844
387	0.6265474295
388	0.6265127618
389	0.6264407268
390	0.6263231065
391	0.6262704619
392	0.6261524729
393	0.6260468793
394	0.6258902253
395	0.6258118689
396	0.6257672174
397	0.6256031264
398	0.6254854534
399	0.6254099185
400	0.6253059208
401	0.6251831599
402	0.6251276139
403	0.6250493456
404	0.6250051719
405	0.6248995929
406	0.6248688856
407	0.624760419
408	0.6246440904
409	0.6245962957
410	0.6244287556
411	0.6243104971
412	0.6242812823
413	0.6242458462
414	0.6241236261
415	0.6240811222
416	0.6240146023
417	0.6238970173
418	0.6237929418
419	0.6237327658
420	0.6236596446
421	0.6234668594
422	0.6234344239
423	0.6232301972
424	0.623157463
425	0.6230405073
426	0.6229514567
427	0.6228924996
428	0.6228314116
429	0.622715365
430	0.6225684851
431	0.6224681528
432	0.6223722524
433	0.6222644668
434	0.6221591111
435	0.6220799734
436	0.6219251374
437	0.6217603323
438	0.6215777059
439	0.6214065082
440	0.6212641414
441	0.6212447544
442	0.6210575656
443	0.6209371374
444	0.6208575124
